Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Clicks,Conversions,Conversion Type,Conversion Rate,Sessions
2024-06-01,FR,Agency_2,googleadwords_int,Summer Sale - Limited Time Offer,30.0,2,re-attribution,0.06666666666666667,133
2025-10-14,US,,googleadwords_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,148.0,5,view-through,0.033783783783783786,991
2025-02-19,BR,Agency_5,direct,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,241.0,12,re-attribution,0.04979253112033195,294
2024-09-20,GB,,bingads_int,Performance Campaign - Conversions,,4,view-through,,402
2024-10-28,FR,Agency_2,twitter_int,Performance Campaign - Conversions,187.0,3,attribution,0.016042780748663103,738
2024-10-20,JP,Agency_3,googleadwords_int,New Product Launch,137.0,5,view-through,0.0364963503649635,201
2024-07-13,AU,,direct,Brand Campaign - Awareness,,1,attribution,,752
2025-04-09,CA,Agency_2,twitter_int,Brand Campaign - Awareness,665.0,3,re-attribution,0.004511278195488722,873
2024-08-03,GB,,facebook_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,182.0,18,re-attribution,0.0989010989010989,345
2024-10-26,BR,,googleadwords_int,New Product Launch,,0,re-attribution,,351
2025-08-07,AU,Agency_3,direct,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,11.0,1,attribution,0.09090909090909091,946
2024-07-10,AU,Agency_3,direct,Brand Campaign - Awareness,974.0,84,attribution,0.08624229979466119,981
2025-09-14,AU,,googleadwords_int,Summer Sale - Limited Time Offer,,4,view-through,,650
2024-05-23,BR,Agency_5,googleadwords_int,Performance Campaign - Conversions,440.0,41,re-attribution,0.09318181818181819,507
2024-03-27,GB,,twitter_int,Brand Campaign - Awareness,508.0,43,attribution,0.08464566929133858,536
2025-06-01,IN,Agency_1,bingads_int,Summer Sale - Limited Time Offer,827.0,10,view-through,0.012091898428053204,904
2024-10-16,DE,,organic,Performance Campaign - Conversions,385.0,8,attribution,0.02077922077922078,772
2024-11-12,IN,Agency_3,organic,Brand Campaign - Awareness,565.0,5,re-attribution,0.008849557522123894,806
2024-07-28,IN,Agency_5,googleadwords_int,SB_UAC_Hindi_KYC_Completed_April'24,165.0,3,view-through,0.01818181818181818,303
2025-08-14,CA,Agency_4,googleadwords_int,New Product Launch,,1,attribution,,613
2024-10-23,AU,Agency_3,bingads_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,153.0,15,re-attribution,0.09803921568627451,165
2024-01-13,US,Agency_5,googleadwords_int,SB_UAC_Hindi_KYC_Completed_April'24,,2,view-through,,642
2025-04-12,JP,,direct,SB_UAC_Hindi_KYC_Completed_April'24,18.0,0,attribution,0.0,572
2025-07-22,FR,,organic,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,51.0,0,re-attribution,0.0,73
2024-10-25,CA,Agency_3,organic,Summer Sale - Limited Time Offer,228.0,8,re-attribution,0.03508771929824561,778
2025-01-31,GB,,facebook_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,352.0,12,view-through,0.03409090909090909,483
2024-12-20,GB,Agency_3,organic,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,290.0,24,attribution,0.08275862068965517,633
2024-09-03,GB,,facebook_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,,1,re-attribution,,797
2025-05-25,US,,bingads_int,SB_UAC_Hindi_KYC_Completed_April'24,135.0,5,view-through,0.037037037037037035,314
2025-05-31,JP,Agency_5,facebook_int,SB_UAC_Hindi_KYC_Completed_April'24,214.0,11,re-attribution,0.0514018691588785,895
2025-05-09,FR,,bingads_int,Summer Sale - Limited Time Offer,42.0,4,view-through,0.09523809523809523,512
2024-04-15,CA,,bingads_int,Brand Campaign - Awareness,147.0,5,re-attribution,0.034013605442176874,331
2025-03-17,US,Agency_4,facebook_int,Summer Sale - Limited Time Offer,,2,attribution,,948
2025-02-07,FR,,direct,New Product Launch,1.0,0,view-through,0.0,394
2025-06-12,AU,Agency_1,bingads_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,351.0,23,view-through,0.06552706552706553,483
2025-06-25,CA,,direct,New Product Launch,388.0,16,view-through,0.041237113402061855,904
2025-09-03,DE,Agency_1,googleadwords_int,Brand Campaign - Awareness,134.0,7,view-through,0.05223880597014925,594
2025-07-26,CA,Agency_1,googleadwords_int,New Product Launch,10.0,1,attribution,0.1,111
2025-05-20,US,,organic,SB_UAC_Hindi_KYC_Completed_April'24,106.0,1,attribution,0.009433962264150943,627
2025-08-23,JP,,twitter_int,Summer Sale - Limited Time Offer,0.0,0,attribution,,664
2024-01-13,IN,,facebook_int,Summer Sale - Limited Time Offer,531.0,5,attribution,0.009416195856873822,714
2024-01-14,AU,,googleadwords_int,Brand Campaign - Awareness,237.0,20,re-attribution,0.08438818565400844,929
2024-11-30,AU,Agency_5,direct,Brand Campaign - Awareness,187.0,8,re-attribution,0.0427807486631016,343
2025-02-09,FR,Agency_2,googleadwords_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,41.0,1,re-attribution,0.024390243902439025,784
2025-11-13,JP,Agency_5,direct,SB_UAC_Hindi_KYC_Completed_April'24,495.0,38,attribution,0.07676767676767676,712
2024-12-08,CA,Agency_5,facebook_int,Brand Campaign - Awareness,258.0,0,re-attribution,0.0,815
2024-11-30,CA,Agency_1,direct,New Product Launch,84.0,3,re-attribution,0.03571428571428571,123
2025-02-16,FR,,twitter_int,New Product Launch,13.0,1,attribution,0.07692307692307693,90
2025-08-09,FR,,direct,Brand Campaign - Awareness,23.0,0,view-through,0.0,257
2024-11-21,FR,Agency_2,googleadwords_int,Performance Campaign - Conversions,157.0,1,view-through,0.006369426751592357,413
2025-01-15,US,,facebook_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,92.0,4,attribution,0.043478260869565216,147
2024-04-05,AU,,bingads_int,SB_UAC_Hindi_KYC_Completed_April'24,145.0,0,view-through,0.0,183
2025-01-05,IN,Agency_3,bingads_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,128.0,0,attribution,0.0,642
2025-10-15,US,,bingads_int,Summer Sale - Limited Time Offer,38.0,2,attribution,0.05263157894736842,827
