Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Clicks,Conversions,Conversion Type,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,booking_confirmed (Unique users),booking_confirmed (Event counter),booking_confirmed (Sales in INR),booking_done_10_fos (Unique users),booking_done_10_fos (Event counter),booking_done_10_fos (Sales in INR),booking_done_11_fos (Unique users),booking_done_11_fos (Event counter),booking_done_11_fos (Sales in INR),booking_done_1_fos (Unique users),booking_done_1_fos (Event counter),booking_done_1_fos (Sales in INR),booking_done_2_fos (Unique users),booking_done_2_fos (Event counter),booking_done_2_fos (Sales in INR),booking_done_3_fos (Unique users),booking_done_3_fos (Event counter),booking_done_3_fos (Sales in INR),booking_done_4_fos (Unique users),booking_done_4_fos (Event counter),booking_done_4_fos (Sales in INR),booking_done_5_fos (Unique users),booking_done_5_fos (Event counter),booking_done_5_fos (Sales in INR),booking_done_6_fos (Unique users),booking_done_6_fos (Event counter),booking_done_6_fos (Sales in INR),booking_done_7_fos (Unique users),booking_done_7_fos (Event counter),booking_done_7_fos (Sales in INR),booking_done_8_fos (Unique users),booking_done_8_fos (Event counter),booking_done_8_fos (Sales in INR),booking_done_9_fos (Unique users),booking_done_9_fos (Event counter),booking_done_9_fos (Sales in INR),button click (Unique users),button click (Event counter),button click (Sales in INR),call_now_clicked (Unique users),call_now_clicked (Event counter),call_now_clicked (Sales in INR),company name entered (Unique users),company name entered (Event counter),company name entered (Sales in INR),dg_locker_aadhaar_otp_shown (Unique users),dg_locker_aadhaar_otp_shown (Event counter),dg_locker_aadhaar_otp_shown (Sales in INR),event_overlay_permission_pop_up_continue_clicked (Unique users),event_overlay_permission_pop_up_continue_clicked (Event counter),event_overlay_permission_pop_up_continue_clicked (Sales in INR),event_overlay_permission_pop_up_dismiss_clicked (Unique users),event_overlay_permission_pop_up_dismiss_clicked (Event counter),event_overlay_permission_pop_up_dismiss_clicked (Sales in INR),event_overlay_permission_pop_up_shown (Unique users),event_overlay_permission_pop_up_shown (Event counter),event_overlay_permission_pop_up_shown (Sales in INR),first_booking_clicked (Unique users),first_booking_clicked (Event counter),first_booking_clicked (Sales in INR),first_booking_done (Unique users),first_booking_done (Event counter),first_booking_done (Sales in INR),instant_kyc_submitted_non_fos (Unique users),instant_kyc_submitted_non_fos (Event counter),instant_kyc_submitted_non_fos (Sales in INR),instant_kyc_success (Unique users),instant_kyc_success (Event counter),instant_kyc_success (Sales in INR),kyc_completed_non_fos (Unique users),kyc_completed_non_fos (Event counter),kyc_completed_non_fos (Sales in INR),load_posting_form_opened (Unique users),load_posting_form_opened (Event counter),load_posting_form_opened (Sales in INR),order_tracking_created_1_fos (Unique users),order_tracking_created_1_fos (Event counter),order_tracking_created_1_fos (Sales in INR),order_tracking_created_1_non_fos (Unique users),order_tracking_created_1_non_fos (Event counter),order_tracking_created_1_non_fos (Sales in INR),order_tracking_created_fos (Unique users),order_tracking_created_fos (Event counter),order_tracking_created_fos (Sales in INR),order_tracking_created_non_fos (Unique users),order_tracking_created_non_fos (Event counter),order_tracking_created_non_fos (Sales in INR),overlay_permission_not_given (Unique users),overlay_permission_not_given (Event counter),overlay_permission_not_given (Sales in INR),page_load (Unique users),page_load (Event counter),page_load (Sales in INR),page_seen (Unique users),page_seen (Event counter),page_seen (Sales in INR),payment_success_fos (Unique users),payment_success_fos (Event counter),payment_success_fos (Sales in INR),recharge_pack_select (Unique users),recharge_pack_select (Event counter),recharge_pack_select (Sales in INR),sales_code_started (Unique users),sales_code_started (Event counter),sales_code_started (Sales in INR),sales_code_success (Unique users),sales_code_success (Event counter),sales_code_success (Sales in INR),start_booking (Unique users),start_booking (Event counter),start_booking (Sales in INR),verify_otp_api_success (Unique users),verify_otp_api_success (Event counter),verify_otp_api_success (Sales in INR)
2025-06-11,CA,,facebook,SB_UAC_English_KYC_NonFos_Firebase_May'24,,9,re-attribution,,82,3,0.3,63.14,440.54,-0.86,15.79,48.95,0,0,0.0,1,1,4.7,1,8,2.25,0,0,0.0,0,0,0.0,1,3,9.64,2,10,2.73,0,0,0.0,0,0,0.0,2,3,9.31,1,3,1.37,2,6,1.92,2,4,3.37,1,2,1.11,0,0,0.0,0,0,0.0,2,3,4.94,0,0,0.0,2,1,4.86,2,1,4.79,0,0,0.0,2,8,2.79,2,3,8.99,2,7,0.11,2,10,9.18,1,9,0.96,2,8,0.32,1,5,1.08,1,8,7.79,2,6,0.72,0,0,0.0,1,4,5.2,0,0,0.0,2,7,7.24,0,0,0.0,1,4,6.07,1,7,5.88,0,0,0.0
2025-07-18,US,,organic,SB_UAC_English_KYC_NonFos_Firebase_May'24,,7,re-attribution,,56,0,0.0,69.14,279.54,-0.75,69.14,39.93,2,8,1.29,2,2,8.37,1,4,4.8,1,2,0.74,0,0,0.0,0,0,0.0,1,4,4.45,1,2,2.65,1,9,7.54,0,0,0.0,1,5,7.54,2,10,7.14,2,3,4.17,2,1,8.62,0,0,0.0,1,7,7.21,0,0,0.0,2,0,0.0,1,7,5.3,2,9,3.55,2,2,6.98,0,0,0.0,1,7,1.65,0,0,0.0,1,0,0.0,0,0,0.0,1,7,1.49,2,9,8.19,1,3,8.62,2,9,7.45,0,0,0.0,2,1,2.25,0,0,0.0,0,0,0.0,1,4,8.39,2,1,0.15,2,4,9.25,2,0,0.0
2025-05-23,US,,facebook,SB_UAC_Hindi_KYC_Completed_Firebase_April'24,,5,other,,46,3,0.5,53.23,,,13.31,,2,3,2.14,0,0,0.0,2,0,0.0,2,6,3.58,2,7,0.19,0,0,0.0,0,0,0.0,2,3,0.07,1,9,2.26,1,10,9.25,1,6,2.23,1,4,5.53,2,10,9.48,2,6,1.06,1,6,2.41,0,0,0.0,2,5,3.58,0,0,0.0,1,2,6.62,0,0,0.0,0,0,0.0,2,9,0.95,0,0,0.0,0,0,0.0,1,4,5.73,0,0,0.0,0,0,0.0,1,2,9.26,1,1,2.04,0,0,0.0,2,3,0.81,2,1,2.73,0,0,0.0,0,0,0.0,0,0,0.0,1,9,8.82,1,6,0.07,1,1,3.65
2025-03-06,IN,,googleadwords_int,SB_UAC_Hindi_KYC_NonFos_Firebase_April'24,,9,re-attribution,,191,3,0.3,91.29,,,22.82,,0,0,0.0,2,1,6.71,2,2,6.01,2,0,0.0,0,0,0.0,2,7,9.18,2,3,8.38,0,0,0.0,1,6,5.93,1,2,7.66,0,0,0.0,0,0,0.0,2,1,8.19,0,0,0.0,2,7,8.03,0,0,0.0,0,0,0.0,2,7,8.55,1,6,0.17,0,0,0.0,2,8,9.09,1,6,7.31,2,0,0.0,0,0,0.0,1,4,9.34,0,0,0.0,2,5,8.08,2,1,0.44,0,0,0.0,0,0,0.0,2,2,1.51,1,9,8.15,2,0,0.0,0,0,0.0,1,5,6.04,0,0,0.0,1,8,5.58,0,0,0.0
2024-10-20,US,Trujillo-Wells,organic,SB_UAC_Hindi_KYC_NonFos_Firebase_May'24,,4,new install,,493,4,0.8,50.57,,,10.11,,2,7,3.54,0,0,0.0,1,8,6.07,0,0,0.0,2,7,2.82,1,2,8.84,2,6,1.47,2,0,0.0,0,0,0.0,1,4,6.34,1,9,8.78,2,6,7.74,0,0,0.0,1,7,4.34,0,0,0.0,1,9,7.16,1,1,8.14,1,0,0.0,1,6,2.97,2,1,5.82,0,0,0.0,2,6,1.96,2,4,8.29,0,0,0.0,0,0,0.0,2,8,0.59,0,0,0.0,2,6,6.66,0,0,0.0,2,7,4.55,1,3,3.33,2,9,5.56,0,0,0.0,2,2,6.43,0,0,0.0,0,0,0.0,2,1,5.2,2,2,2.4
2025-08-20,GB,,other,SB_UAC_English_KYC_Completed_Firebase_April'24,173.0,8,new install,0.046242774566473986,483,5,0.56,22.01,12.55,0.75,3.67,1.57,2,1,3.09,2,6,3.77,0,0,0.0,2,5,7.02,1,5,0.38,0,0,0.0,2,8,6.65,2,3,4.16,2,4,7.67,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,2,5.88,2,7,8.46,0,0,0.0,1,7,8.46,2,4,7.75,1,4,5.01,0,0,0.0,0,0,0.0,2,3,5.74,0,0,0.0,0,0,0.0,1,5,3.43,1,6,0.22,1,10,5.36,2,5,9.37,2,8,5.37,0,0,0.0,2,2,7.28,0,0,0.0,2,5,1.02,0,0,0.0,1,2,8.62,1,4,6.41,2,10,8.84,0,0,0.0
2024-11-26,GB,"Campbell, Miller and Jenkins",other,SB_UAC_Hindi_KYC_Completed_Firebase_Nov'22,,1,re-attribution,,328,4,2.0,23.59,,,4.72,,1,8,9.51,1,5,3.1,1,10,8.22,1,4,5.79,1,9,9.74,0,0,0.0,0,0,0.0,1,9,6.6,0,0,0.0,2,7,9.82,1,9,3.29,0,0,0.0,2,10,2.12,0,0,0.0,2,8,0.21,1,1,9.05,0,0,0.0,2,7,9.65,2,1,1.52,1,6,9.36,0,0,0.0,1,10,4.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,6,5.88,2,1,4.59,1,8,2.82,2,5,6.77,0,0,0.0,0,0,0.0,2,7,4.49,1,3,9.67,2,0,0.0,0,0,0.0,1,5,3.46,1,9,0.5
2024-12-12,GB,,googleadwords_int,SB_UAC_English_KYC_Completed_Firebase_April'24,,6,new install,,282,0,0.0,95.41,113.32,-0.16,95.41,18.89,1,0,0.0,0,0,0.0,2,8,2.88,1,0,0.0,0,0,0.0,1,10,2.88,1,10,2.76,0,0,0.0,2,3,0.32,2,2,0.84,2,6,6.82,0,0,0.0,2,9,4.55,0,0,0.0,2,6,5.02,0,0,0.0,0,0,0.0,0,0,0.0,1,2,6.69,0,0,0.0,0,0,0.0,2,0,0.0,1,5,4.4,2,3,4.41,1,5,0.34,0,0,0.0,2,10,7.87,0,0,0.0,1,5,5.28,1,4,0.98,2,7,7.62,2,0,0.0,0,0,0.0,2,8,1.04,2,10,8.93,2,2,2.94,1,1,2.16,2,0,0.0
2025-05-08,US,,other,SB_UAC_English_KYC_NonFos_Firebase_April'24,,7,other,,471,3,0.38,59.48,,,14.87,,1,8,6.1,2,2,0.52,2,2,6.96,1,3,1.31,1,2,5.77,2,2,9.17,1,0,0.0,2,0,0.0,0,0,0.0,1,5,6.86,0,0,0.0,0,0,0.0,2,6,0.27,1,1,9.48,0,0,0.0,1,5,3.41,1,9,5.04,0,0,0.0,1,8,6.69,0,0,0.0,2,1,2.56,2,8,4.07,1,5,9.43,1,6,8.97,1,1,8.66,1,10,6.87,1,8,9.61,2,5,8.7,0,0,0.0,0,0,0.0,1,5,3.03,2,3,7.59,0,0,0.0,0,0,0.0,0,0,0.0,1,9,8.88,1,7,8.01,2,0,0.0
2025-01-18,IN,,googleadwords_int,SB_UAC_Hindi_KYC_Completed_Firebase_April'24,,4,new install,,391,0,0.0,87.75,257.07,-0.66,87.75,64.27,2,1,6.98,1,9,6.05,0,0,0.0,0,0,0.0,2,9,9.2,0,0,0.0,1,6,7.61,1,10,2.35,2,5,6.15,1,9,2.09,2,2,6.75,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,3.2,0,0,0.0,1,2,9.96,0,0,0.0,1,9,4.91,0,0,0.0,1,5,8.72,0,0,0.0,2,8,8.42,2,6,7.43,0,0,0.0,0,0,0.0,2,6,1.22,0,0,0.0,1,1,3.04,2,2,7.87,0,0,0.0,1,4,2.44,1,1,6.63,1,3,6.91,1,9,2.9,0,0,0.0
2025-02-13,GB,Torres LLC,googleadwords_int,SB_UAC_English_KYC_Completed_Firebase_April'24,,1,re-attribution,,54,1,0.5,31.04,,,15.52,,0,0,0.0,0,0,0.0,1,6,5.11,2,4,6.04,1,6,3.98,0,0,0.0,2,5,5.1,0,0,0.0,2,5,4.06,2,7,4.95,2,3,8.71,2,9,2.95,0,0,0.0,2,9,1.25,0,0,0.0,1,9,6.67,1,3,6.88,1,1,1.62,0,0,0.0,2,6,5.39,0,0,0.0,2,5,0.75,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,9,6.11,2,2,9.18,1,5,1.13,1,4,1.38,1,0,0.0,0,0,0.0,0,0,0.0,2,3,9.06,1,0,0.0,0,0,0.0
2025-01-11,CA,,facebook,SB_UAC_Hindi_KYC_Completed_Firebase_April'24,921.0,4,new install,0.004343105320304018,83,0,0.0,87.61,106.71,-0.18,87.61,26.68,2,4,6.14,2,2,6.73,0,0,0.0,1,8,1.65,2,4,3.58,2,5,1.82,1,3,2.22,0,0,0.0,2,0,0.0,1,5,5.53,0,0,0.0,2,9,2.16,0,0,0.0,1,0,0.0,0,0,0.0,2,4,7.51,1,1,5.31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,2.69,2,0,0.0,0,0,0.0,1,9,2.42,0,0,0.0,0,0,0.0,1,10,3.89,1,1,2.68,2,5,0.89,2,4,4.19,2,1,7.1,2,7,7.96,1,9,1.35,0,0,0.0,2,2,1.03,1,4,5.16,0,0,0.0
2025-01-28,US,Shaw-Martinez,other,SB_UAC_Hindi_KYC_Completed_Firebase_May'24,558.0,1,new install,0.0017921146953405018,172,5,2.5,78.8,29.84,1.64,13.13,29.84,2,0,0.0,2,7,7.28,1,2,6.71,2,10,6.31,0,0,0.0,2,2,6.12,0,0,0.0,2,8,2.87,0,0,0.0,1,10,1.65,1,1,4.94,0,0,0.0,0,0,0.0,1,7,8.32,1,8,7.86,0,0,0.0,1,7,4.78,1,6,9.04,0,0,0.0,2,2,0.17,1,1,2.64,1,10,8.89,2,9,4.31,1,0,0.0,2,3,0.77,1,6,0.52,1,0,0.0,2,3,9.88,2,1,1.62,1,2,8.47,0,0,0.0,1,5,5.87,1,5,8.62,0,0,0.0,2,6,4.19,2,10,7.57,2,6,8.57,1,7,3.82
2025-06-12,US,,googleadwords_int,SB_UAC_Hindi_KYC_NonFos_Firebase_April'24,235.0,5,re-attribution,0.02127659574468085,232,2,0.33,47.06,,,15.69,,1,2,7.93,2,5,1.68,1,5,6.01,0,0,0.0,2,2,5.03,1,7,1.34,0,0,0.0,2,5,4.58,1,3,1.82,2,2,3.23,0,0,0.0,1,1,8.56,2,3,9.12,1,0,0.0,1,2,0.02,1,6,9.63,0,0,0.0,2,7,0.58,1,2,9.98,1,8,3.91,2,7,9.65,2,4,8.14,2,1,1.59,2,3,4.91,0,0,0.0,2,4,7.09,0,0,0.0,2,8,1.03,1,10,6.78,2,10,9.96,0,0,0.0,1,2,0.86,1,8,0.79,0,0,0.0,0,0,0.0,1,8,7.01,2,0,0.0,1,8,6.1
2025-09-01,GB,,organic,SB_UAC_English_KYC_NonFos_Firebase_May'24,528.0,4,other,0.007575757575757576,172,2,0.4,20.58,,,6.86,,0,0,0.0,1,3,2.11,1,5,6.95,2,7,1.99,2,5,4.18,0,0,0.0,1,6,4.69,1,0,0.0,1,10,4.51,2,0,0.0,2,1,5.68,2,1,8.76,2,7,6.19,0,0,0.0,0,0,0.0,0,0,0.0,2,2,6.29,1,10,1.69,2,4,6.12,1,0,0.0,1,10,1.24,1,10,5.39,1,3,7.91,1,6,6.67,2,3,7.05,0,0,0.0,0,0,0.0,2,8,6.25,0,0,0.0,1,6,7.78,2,6,9.58,0,0,0.0,2,7,4.61,1,8,5.61,0,0,0.0,0,0,0.0,1,10,9.28,2,5,2.01
2025-06-24,GB,,facebook,SB_UAC_Hindi_KYC_NonFos_Firebase_May'24,,3,new install,,192,1,0.25,31.11,,,15.55,,2,0,0.0,0,0,0.0,2,3,0.84,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,2,10,0.04,2,1,9.57,2,6,7.37,2,2,3.11,2,8,6.22,2,10,6.05,2,0,0.0,2,7,1.99,2,1,0.08,2,3,4.66,2,6,1.9,2,3,6.37,1,4,6.32,2,10,8.82,1,7,6.19,0,0,0.0,0,0,0.0,2,0,0.0,2,8,6.99,0,0,0.0,2,9,8.93,2,7,1.88,2,6,5.19,0,0,0.0,1,8,5.05,1,5,3.27,0,0,0.0,1,1,1.07,1,3,9.2,1,5,5.33,1,7,3.81
